,n,r,p
0,20,0.4288070892224315,0.05922478028718153
1,3.0,-0.5769641430554945,0.6084744589723813
2,3.0,0.540538681359439,0.6364409249804908
3,3.0,0.6852102935312566,0.5194205801400118
4,3.0,-0.4515976968230518,0.7017084798603805
5,3.0,0.15893095260102172,0.8983905517294122
6,3.0,1.0,0.0
7,3.0,0.638244004870479,0.5593221817370234
8,3.0,0.8287205935806352,0.37813849475016903
9,3.0,-1.0,0.0
10,3.0,0.3074665483356276,0.8010375658503824
11,3.0,0.8765773083924486,0.3196421916626326
12,3.0,0.13032811868088812,0.9167938506169875
13,3.0,0.9359317938518973,0.22911991263280895
14,3.0,1.0,0.0
15,3.0,-0.9746566793670436,0.1436310637174185
16,3.0,1.0,0.0
17,3.0,0.9947421093296215,0.06531175736158866
18,3.0,0.6029095025275951,0.5880159905919033
19,3.0,-0.7847098055668739,0.42562392458785187
20,3.0,-0.7847098055668738,0.42562392458785214
21,3.0,0.20599292368157468,0.86791522191842
22,3.0,0.6342823937142391,0.5625913194608876
23,3.0,0.40414850529535007,0.7351357877468135
24,3.0,1.0,0.0
25,3.0,-0.5996497440848725,0.5906131496651266
26,3.0,1.0,0.0
27,3.0,0.9580148536941824,0.18512892639061354
28,3.0,1.0,0.0
29,3.0,-1.0,0.0
30,3.0,-1.0,0.0
31,3.0,0.9795809281305398,0.1288709092224699
32,3.0,-0.28336980069814,0.8170952405919704
33,3.0,0.8756275953145577,0.32089623826443847
34,3.0,-0.26281603930374303,0.8306975356490558
35,3.0,-1.0,0.0
36,3.0,0.6679314611208252,0.5343598440552383
37,3.0,-1.0,0.0
38,3.0,-0.9795429041771149,0.12899125553995208
39,3.0,0.7114444557492052,0.4960826436646339
40,3.0,0.1711961205668877,0.8904736521259954
41,3.0,0.9775621016137785,0.1351143963166304
42,3.0,0.38251995938145056,0.7501126405738553
43,3.0,0.8312567577921179,0.3752438369770331
44,3.0,0.9214132979922176,0.2540713459868888
45,3.0,0.8988245265703146,0.28884462108803544
46,3.0,-0.06468163104175143,0.9587936280287923
47,3.0,0.9909245750772064,0.08583365445302288
48,3.0,-0.34856490219288977,0.7733381864340576
49,3.0,-0.3493717170230031,0.7727900961845003
50,3.0,0.6311955510257152,0.5651290744012233
51,3.0,-0.9999999999999998,1.3415758552508148e-08
52,3.0,0.381489433315934,0.7508225317716605
53,3.0,-1.0,0.0
54,3.0,0.9999999999999999,0.0
55,3.0,-0.8967747689221538,0.2918076544448148
56,3.0,0.8455193552472752,0.35858196377097445
57,3.0,0.9746788915761101,0.14356783879769308
58,3.0,1.0,0.0
59,3.0,0.9823438898797585,0.1198074182755593
60,3.0,0.8149606176356463,0.3935170218161138
61,3.0,0.5701716671719731,0.6137533611705648
62,3.0,1.0,0.0
63,3.0,-0.8151336665798302,0.39332688132551397
64,3.0,0.36637098114843386,0.7612002266072126
