,n,r,p
0,20,0.42054330279380203,0.0648457143816062
1,3.0,0.868664231312356,0.32995795932921085
2,3.0,-1.0,0.0
3,3.0,0.767886505687889,0.44261692872043035
4,3.0,0.6537338364853842,0.5464031964784648
5,3.0,1.0,0.0
6,3.0,0.6382405126163831,0.5593250696757823
7,3.0,-0.45373310444948817,0.7001838941364356
8,3.0,0.9796429659214942,0.12867432047164026
9,3.0,0.6055186329067772,0.58593142725058
10,3.0,1.0,0.0
11,3.0,0.9999999999999999,0.0
12,3.0,0.604070955281928,0.5870886875815635
13,3.0,0.7882781175335056,0.4219456798278028
14,3.0,0.5700183604144442,0.6138721545437569
15,3.0,0.8095591404393168,0.39941243794305586
16,3.0,-0.9145259485269994,0.2651278342565466
17,3.0,-0.6250116428628208,0.570188422069522
18,3.0,0.361402841109069,0.7645958409222606
19,3.0,0.9996622159769102,0.016547290767176804
20,3.0,1.0,0.0
21,3.0,-0.497561633599898,0.6684576703071412
22,3.0,0.5592594680764658,0.6221711057310713
23,3.0,0.5508474243822992,0.6286092303966062
24,3.0,-0.579173930916749,0.606750418958493
25,3.0,0.4027618782430036,0.7361005472088167
26,3.0,0.9171112753129793,0.2610293545881268
27,3.0,0.5451676227945254,0.6329320096645499
28,3.0,0.9674846283728182,0.16278835358696322
29,3.0,0.5508474243822992,0.6286092303966062
30,3.0,-1.0,0.0
31,3.0,-1.0,0.0
32,3.0,0.7665842403177185,0.4439095589884119
33,3.0,-0.349504259700409,0.7727000396881286
34,3.0,-0.7662366810323115,0.44425401719606716
35,3.0,0.25488076236368595,0.8359275569091555
36,3.0,0.7793714564679818,0.43107708309737347
37,3.0,0.3502354819261555,0.7722031231814159
38,3.0,0.7054933078949297,0.501450984045379
39,3.0,0.9069986845112787,0.2767351988143598
40,3.0,1.0,0.0
41,3.0,-0.13696262113995222,0.9125319543205949
42,3.0,0.7994045616165095,0.4102968918164049
43,3.0,0.8457960125721469,0.3582519711310452
44,3.0,0.7529213093071203,0.45728812939510904
45,3.0,0.6068880229508775,0.5848352743063739
46,3.0,1.0,0.0
47,3.0,-0.8019619978603072,0.4075792231733731
48,3.0,0.947246135091726,0.20770656647781263
49,3.0,1.0,0.0
50,3.0,-0.28602004554568516,0.8153352082877953
51,3.0,0.9714781643690038,0.15241283354824525
52,3.0,-1.0,0.0
53,3.0,0.5145751969486753,0.6558992801528494
54,3.0,0.9223271541694031,0.25256996998030184
55,3.0,-0.38938258394501557,0.7453768063483118
56,3.0,1.0,0.0
57,3.0,-0.6757995456384718,0.5275969963257522
58,3.0,-0.48373782933871934,0.6785576502924339
59,3.0,-1.0,0.0
60,3.0,0.765438360883588,0.4450443742544169
61,3.0,0.18576575407711224,0.8810468800598006
62,3.0,0.9999986694657418,0.0010385040619099882
63,3.0,0.9999999999999999,0.0
64,3.0,-0.015198159016402812,0.9903241789488217
65,3.0,-0.5628763293218253,0.6193894509917829
66,3.0,-0.3364216531331214,0.7815665428508888
67,3.0,0.8709385201607233,0.32702349537810915
68,3.0,-0.9658135848031724,0.1669425251174428
69,3.0,0.7212811973817739,0.48710711091865183
70,3.0,-0.9702494165575657,0.15567737327591516
